var,type,date,rmsi,spread,bias,count,cr
t,187,2018-11-20T18:00:00Z,3.20523987395118,2.64301354963196,2.54059399414836,156657,0.824591498162615
t,181,2018-11-20T18:00:00Z,8.40165291697367,6.74936924762846,2.15719032202671,61321,0.803338261450061
u,287,2018-11-20T18:00:00Z,4.53779790660029,6.88246219506874,0.660526636780885,67736,1.51669649832975
u,281,2018-11-20T18:00:00Z,7.40777773082479,5.84223349235617,0.470750910324327,60217,0.788662093362471
v,287,2018-11-20T18:00:00Z,5.27514212437227,6.66486459566909,2.51968467841473,67736,1.26344739886268
v,281,2018-11-20T18:00:00Z,4.09827580812877,6.62558358770929,1.47505525607387,60217,1.61667586514497
t,187,2018-11-20T19:00:00Z,2.4250521192791,3.2637664444416,2.11221962374205,157021,1.34585414412117
t,181,2018-11-20T19:00:00Z,5.86760043745207,66.6623920459264,1.44455693888202,53051,11.3610994403146
u,287,2018-11-20T19:00:00Z,2.92068331723227,21.2395145191327,0.530421954941073,67880,7.27210457697276
u,281,2018-11-20T19:00:00Z,6.00588963633219,7.02566138664879,0.569784288825144,52117,1.16979528630489
v,287,2018-11-20T19:00:00Z,3.8825475263153,7.39796465315386,2.33152879458456,67880,1.90544084856955
v,281,2018-11-20T19:00:00Z,2.69907085111437,7.40218208148298,1.65644852045206,52117,2.74249269092986
t,187,2018-11-20T20:00:00Z,2.24767133623047,3.53106215380822,1.72470674692492,156913,1.57098686844942
t,181,2018-11-20T20:00:00Z,7.98453577421481,42.7248140157841,1.31442915084215,55323,5.35094528022021
u,287,2018-11-20T20:00:00Z,3.11475828743946,17.1288512604659,0.78819749786172,68513,5.49925537706714
u,281,2018-11-20T20:00:00Z,6.45186485629567,7.07218112468512,0.789086210539481,53570,1.09614526686562
v,287,2018-11-20T20:00:00Z,3.41270850826026,7.59074203754971,2.07844794047553,68513,2.224257366012
v,281,2018-11-20T20:00:00Z,2.47977605936827,7.30224596826023,1.53199584468919,53570,2.94471992366944
t,187,2018-11-20T21:00:00Z,2.37781843206404,2.9601556871845,1.13517479685487,155027,1.24490400413583
t,181,2018-11-20T21:00:00Z,6.00009669893644,16.5522651991018,0.871749672005465,59283,2.75866640649905
u,287,2018-11-20T21:00:00Z,4.38211317859203,12.2308769293924,1.22823615964897,67857,2.79109106290179
u,281,2018-11-20T21:00:00Z,7.20785593534219,7.81772862003097,0.752638865689786,58076,1.0846122189677
v,287,2018-11-20T21:00:00Z,3.98612676619702,7.49498149317306,2.10367711794509,67857,1.8802667182418
v,281,2018-11-20T21:00:00Z,2.37094786206837,7.34879333804059,1.28192797895861,58076,3.09951705628383
t,187,2018-11-20T22:00:00Z,3.04834433875532,3.13535213044739,0.122661225000162,153879,1.0285426388961
t,181,2018-11-20T22:00:00Z,5.51420757301414,19.1495207121321,-0.101661900811209,54240,3.47276022140471
u,287,2018-11-20T22:00:00Z,5.34968732411387,13.4190228147818,1.919234093478,67740,2.50837516321657
u,281,2018-11-20T22:00:00Z,7.17840895618372,7.49116555854245,0.915439093371442,52832,1.0435690700081
v,287,2018-11-20T22:00:00Z,4.24163137133078,7.46246654977651,2.03960853953942,67740,1.75933877710717
v,281,2018-11-20T22:00:00Z,3.02436334022869,7.46918100708339,1.70933115820715,52832,2.46967052791964
t,187,2018-11-20T23:00:00Z,3.64345455771495,3.7442553751999,-0.998487195201444,151754,1.0276662754779
t,181,2018-11-20T23:00:00Z,4.17384816292085,34.2633300510657,-0.907031880282673,52322,8.20905042867881
