type,nivel,t,rh,uv,ps,pw
100,1100,NA,NA,NA,NA,NA
100,1050,NA,NA,NA,NA,NA
100,1000,NA,NA,NA,NA,NA
100,950,NA,NA,NA,NA,NA
100,900,NA,NA,NA,NA,NA
100,850,NA,NA,NA,NA,NA
100,800,NA,NA,NA,NA,NA
100,750,NA,NA,NA,NA,NA
100,700,NA,NA,NA,NA,NA
100,650,NA,NA,NA,NA,NA
100,600,NA,NA,NA,NA,NA
100,550,NA,NA,NA,NA,NA
100,500,NA,NA,NA,NA,NA
100,450,NA,NA,NA,NA,NA
100,400,NA,NA,NA,NA,NA
100,350,NA,NA,NA,NA,NA
100,300,NA,NA,NA,NA,NA
100,250,NA,NA,NA,NA,NA
100,200,NA,NA,NA,NA,NA
100,150,NA,NA,NA,NA,NA
100,100,NA,NA,NA,NA,NA
100,75,NA,NA,NA,NA,NA
100,50,NA,NA,NA,NA,NA
100,40,NA,NA,NA,NA,NA
100,30,NA,NA,NA,NA,NA
100,20,NA,NA,NA,NA,NA
100,10,NA,NA,NA,NA,NA
100,5,NA,NA,NA,NA,NA
100,4,NA,NA,NA,NA,NA
100,3,NA,NA,NA,NA,NA
100,2,NA,NA,NA,NA,NA
100,1,NA,NA,NA,NA,NA
100,0,NA,NA,NA,NA,NA
101,1100,NA,NA,NA,NA,NA
101,1050,NA,NA,NA,NA,NA
101,1000,NA,NA,NA,NA,NA
101,950,NA,NA,NA,NA,NA
101,900,NA,NA,NA,NA,NA
101,850,NA,NA,NA,NA,NA
101,800,NA,NA,NA,NA,NA
101,750,NA,NA,NA,NA,NA
101,700,NA,NA,NA,NA,NA
101,650,NA,NA,NA,NA,NA
101,600,NA,NA,NA,NA,NA
101,550,NA,NA,NA,NA,NA
101,500,NA,NA,NA,NA,NA
101,450,NA,NA,NA,NA,NA
101,400,NA,NA,NA,NA,NA
101,350,NA,NA,NA,NA,NA
101,300,NA,NA,NA,NA,NA
101,250,NA,NA,NA,NA,NA
101,200,NA,NA,NA,NA,NA
101,150,NA,NA,NA,NA,NA
101,100,NA,NA,NA,NA,NA
101,75,NA,NA,NA,NA,NA
101,50,NA,NA,NA,NA,NA
101,40,NA,NA,NA,NA,NA
101,30,NA,NA,NA,NA,NA
101,20,NA,NA,NA,NA,NA
101,10,NA,NA,NA,NA,NA
101,5,NA,NA,NA,NA,NA
101,4,NA,NA,NA,NA,NA
101,3,NA,NA,NA,NA,NA
101,2,NA,NA,NA,NA,NA
101,1,NA,NA,NA,NA,NA
101,0,NA,NA,NA,NA,NA
102,1100,NA,NA,NA,NA,NA
102,1050,NA,NA,NA,NA,NA
102,1000,NA,NA,NA,NA,NA
102,950,NA,NA,NA,NA,NA
102,900,NA,NA,NA,NA,NA
102,850,NA,NA,NA,NA,NA
102,800,NA,NA,NA,NA,NA
102,750,NA,NA,NA,NA,NA
102,700,NA,NA,NA,NA,NA
102,650,NA,NA,NA,NA,NA
102,600,NA,NA,NA,NA,NA
102,550,NA,NA,NA,NA,NA
102,500,NA,NA,NA,NA,NA
102,450,NA,NA,NA,NA,NA
102,400,NA,NA,NA,NA,NA
102,350,NA,NA,NA,NA,NA
102,300,NA,NA,NA,NA,NA
102,250,NA,NA,NA,NA,NA
102,200,NA,NA,NA,NA,NA
102,150,NA,NA,NA,NA,NA
102,100,NA,NA,NA,NA,NA
102,75,NA,NA,NA,NA,NA
102,50,NA,NA,NA,NA,NA
102,40,NA,NA,NA,NA,NA
102,30,NA,NA,NA,NA,NA
102,20,NA,NA,NA,NA,NA
102,10,NA,NA,NA,NA,NA
102,5,NA,NA,NA,NA,NA
102,4,NA,NA,NA,NA,NA
102,3,NA,NA,NA,NA,NA
102,2,NA,NA,NA,NA,NA
102,1,NA,NA,NA,NA,NA
102,0,NA,NA,NA,NA,NA
103,1100,NA,NA,NA,NA,NA
103,1050,NA,NA,NA,NA,NA
103,1000,NA,NA,NA,NA,NA
103,950,NA,NA,NA,NA,NA
103,900,NA,NA,NA,NA,NA
103,850,NA,NA,NA,NA,NA
103,800,NA,NA,NA,NA,NA
103,750,NA,NA,NA,NA,NA
103,700,NA,NA,NA,NA,NA
103,650,NA,NA,NA,NA,NA
103,600,NA,NA,NA,NA,NA
103,550,NA,NA,NA,NA,NA
103,500,NA,NA,NA,NA,NA
103,450,NA,NA,NA,NA,NA
103,400,NA,NA,NA,NA,NA
103,350,NA,NA,NA,NA,NA
103,300,NA,NA,NA,NA,NA
103,250,NA,NA,NA,NA,NA
103,200,NA,NA,NA,NA,NA
103,150,NA,NA,NA,NA,NA
103,100,NA,NA,NA,NA,NA
103,75,NA,NA,NA,NA,NA
103,50,NA,NA,NA,NA,NA
103,40,NA,NA,NA,NA,NA
103,30,NA,NA,NA,NA,NA
103,20,NA,NA,NA,NA,NA
103,10,NA,NA,NA,NA,NA
103,5,NA,NA,NA,NA,NA
103,4,NA,NA,NA,NA,NA
103,3,NA,NA,NA,NA,NA
103,2,NA,NA,NA,NA,NA
103,1,NA,NA,NA,NA,NA
103,0,NA,NA,NA,NA,NA
104,1100,NA,NA,NA,NA,NA
104,1050,NA,NA,NA,NA,NA
104,1000,NA,NA,NA,NA,NA
104,950,NA,NA,NA,NA,NA
104,900,NA,NA,NA,NA,NA
104,850,NA,NA,NA,NA,NA
104,800,NA,NA,NA,NA,NA
104,750,NA,NA,NA,NA,NA
104,700,NA,NA,NA,NA,NA
104,650,NA,NA,NA,NA,NA
104,600,NA,NA,NA,NA,NA
104,550,NA,NA,NA,NA,NA
104,500,NA,NA,NA,NA,NA
104,450,NA,NA,NA,NA,NA
104,400,NA,NA,NA,NA,NA
104,350,NA,NA,NA,NA,NA
104,300,NA,NA,NA,NA,NA
104,250,NA,NA,NA,NA,NA
104,200,NA,NA,NA,NA,NA
104,150,NA,NA,NA,NA,NA
104,100,NA,NA,NA,NA,NA
104,75,NA,NA,NA,NA,NA
104,50,NA,NA,NA,NA,NA
104,40,NA,NA,NA,NA,NA
104,30,NA,NA,NA,NA,NA
104,20,NA,NA,NA,NA,NA
104,10,NA,NA,NA,NA,NA
104,5,NA,NA,NA,NA,NA
104,4,NA,NA,NA,NA,NA
104,3,NA,NA,NA,NA,NA
104,2,NA,NA,NA,NA,NA
104,1,NA,NA,NA,NA,NA
104,0,NA,NA,NA,NA,NA
105,1100,NA,NA,NA,NA,NA
105,1050,NA,NA,NA,NA,NA
105,1000,NA,NA,NA,NA,NA
105,950,NA,NA,NA,NA,NA
105,900,NA,NA,NA,NA,NA
105,850,NA,NA,NA,NA,NA
105,800,NA,NA,NA,NA,NA
105,750,NA,NA,NA,NA,NA
105,700,NA,NA,NA,NA,NA
105,650,NA,NA,NA,NA,NA
105,600,NA,NA,NA,NA,NA
105,550,NA,NA,NA,NA,NA
105,500,NA,NA,NA,NA,NA
105,450,NA,NA,NA,NA,NA
105,400,NA,NA,NA,NA,NA
105,350,NA,NA,NA,NA,NA
105,300,NA,NA,NA,NA,NA
105,250,NA,NA,NA,NA,NA
105,200,NA,NA,NA,NA,NA
105,150,NA,NA,NA,NA,NA
105,100,NA,NA,NA,NA,NA
105,75,NA,NA,NA,NA,NA
105,50,NA,NA,NA,NA,NA
105,40,NA,NA,NA,NA,NA
105,30,NA,NA,NA,NA,NA
105,20,NA,NA,NA,NA,NA
105,10,NA,NA,NA,NA,NA
105,5,NA,NA,NA,NA,NA
105,4,NA,NA,NA,NA,NA
105,3,NA,NA,NA,NA,NA
105,2,NA,NA,NA,NA,NA
105,1,NA,NA,NA,NA,NA
105,0,NA,NA,NA,NA,NA
106,1100,NA,NA,NA,NA,NA
106,1050,NA,NA,NA,NA,NA
106,1000,NA,NA,NA,NA,NA
106,950,NA,NA,NA,NA,NA
106,900,NA,NA,NA,NA,NA
106,850,NA,NA,NA,NA,NA
106,800,NA,NA,NA,NA,NA
106,750,NA,NA,NA,NA,NA
106,700,NA,NA,NA,NA,NA
106,650,NA,NA,NA,NA,NA
106,600,NA,NA,NA,NA,NA
106,550,NA,NA,NA,NA,NA
106,500,NA,NA,NA,NA,NA
106,450,NA,NA,NA,NA,NA
106,400,NA,NA,NA,NA,NA
106,350,NA,NA,NA,NA,NA
106,300,NA,NA,NA,NA,NA
106,250,NA,NA,NA,NA,NA
106,200,NA,NA,NA,NA,NA
106,150,NA,NA,NA,NA,NA
106,100,NA,NA,NA,NA,NA
106,75,NA,NA,NA,NA,NA
106,50,NA,NA,NA,NA,NA
106,40,NA,NA,NA,NA,NA
106,30,NA,NA,NA,NA,NA
106,20,NA,NA,NA,NA,NA
106,10,NA,NA,NA,NA,NA
106,5,NA,NA,NA,NA,NA
106,4,NA,NA,NA,NA,NA
106,3,NA,NA,NA,NA,NA
106,2,NA,NA,NA,NA,NA
106,1,NA,NA,NA,NA,NA
106,0,NA,NA,NA,NA,NA
107,1100,NA,NA,NA,NA,NA
107,1050,NA,NA,NA,NA,NA
107,1000,NA,NA,NA,NA,NA
107,950,NA,NA,NA,NA,NA
107,900,NA,NA,NA,NA,NA
107,850,NA,NA,NA,NA,NA
107,800,NA,NA,NA,NA,NA
107,750,NA,NA,NA,NA,NA
107,700,NA,NA,NA,NA,NA
107,650,NA,NA,NA,NA,NA
107,600,NA,NA,NA,NA,NA
107,550,NA,NA,NA,NA,NA
107,500,NA,NA,NA,NA,NA
107,450,NA,NA,NA,NA,NA
107,400,NA,NA,NA,NA,NA
107,350,NA,NA,NA,NA,NA
107,300,NA,NA,NA,NA,NA
107,250,NA,NA,NA,NA,NA
107,200,NA,NA,NA,NA,NA
107,150,NA,NA,NA,NA,NA
107,100,NA,NA,NA,NA,NA
107,75,NA,NA,NA,NA,NA
107,50,NA,NA,NA,NA,NA
107,40,NA,NA,NA,NA,NA
107,30,NA,NA,NA,NA,NA
107,20,NA,NA,NA,NA,NA
107,10,NA,NA,NA,NA,NA
107,5,NA,NA,NA,NA,NA
107,4,NA,NA,NA,NA,NA
107,3,NA,NA,NA,NA,NA
107,2,NA,NA,NA,NA,NA
107,1,NA,NA,NA,NA,NA
107,0,NA,NA,NA,NA,NA
108,1100,NA,NA,NA,NA,NA
108,1050,NA,NA,NA,NA,NA
108,1000,NA,NA,NA,NA,NA
108,950,NA,NA,NA,NA,NA
108,900,NA,NA,NA,NA,NA
108,850,NA,NA,NA,NA,NA
108,800,NA,NA,NA,NA,NA
108,750,NA,NA,NA,NA,NA
108,700,NA,NA,NA,NA,NA
108,650,NA,NA,NA,NA,NA
108,600,NA,NA,NA,NA,NA
108,550,NA,NA,NA,NA,NA
108,500,NA,NA,NA,NA,NA
108,450,NA,NA,NA,NA,NA
108,400,NA,NA,NA,NA,NA
108,350,NA,NA,NA,NA,NA
108,300,NA,NA,NA,NA,NA
108,250,NA,NA,NA,NA,NA
108,200,NA,NA,NA,NA,NA
108,150,NA,NA,NA,NA,NA
108,100,NA,NA,NA,NA,NA
108,75,NA,NA,NA,NA,NA
108,50,NA,NA,NA,NA,NA
108,40,NA,NA,NA,NA,NA
108,30,NA,NA,NA,NA,NA
108,20,NA,NA,NA,NA,NA
108,10,NA,NA,NA,NA,NA
108,5,NA,NA,NA,NA,NA
108,4,NA,NA,NA,NA,NA
108,3,NA,NA,NA,NA,NA
108,2,NA,NA,NA,NA,NA
108,1,NA,NA,NA,NA,NA
108,0,NA,NA,NA,NA,NA
109,1100,NA,NA,NA,NA,NA
109,1050,NA,NA,NA,NA,NA
