exp,init_date,fss,w,q
CONV,2018-11-22 00:00:00,0.593427722426149,0,10
CONV,2018-11-22 00:00:00,0.629679544986544,1,10
CONV,2018-11-22 00:00:00,0.64721487231691,2,10
CONV,2018-11-22 00:00:00,0.661482049886066,3,10
CONV,2018-11-22 00:00:00,0.674304204157743,4,10
CONV,2018-11-22 00:00:00,0.686165635367578,5,10
CONV,2018-11-22 00:00:00,0.697460913462626,6,10
CONV,2018-11-22 00:00:00,0.708295267587149,7,10
CONV,2018-11-22 00:00:00,0.718797164250511,8,10
CONV,2018-11-22 00:00:00,0.728746918224845,9,10
CONV,2018-11-22 00:00:00,0.737996690665433,10,10
CONV,2018-11-22 00:00:00,0.746609354209922,11,10
CONV,2018-11-22 00:00:00,0.754657134770197,12,10
CONV,2018-11-22 00:00:00,0.762182908726673,13,10
CONV,2018-11-22 00:00:00,0.769273334184547,14,10
CONV,2018-11-22 00:00:00,0.77596832755445,15,10
CONV,2018-11-22 00:00:00,0.782368380447555,16,10
CONV,2018-11-22 00:00:00,0.788576907818289,17,10
CONV,2018-11-22 00:00:00,0.794590832307135,18,10
CONV,2018-11-22 00:00:00,0.800357933749767,19,10
CONV,2018-11-22 00:00:00,0.805857881219374,20,10
CONV,2018-11-22 00:00:00,0.811125652417414,21,10
CONV,2018-11-22 00:00:00,0.816235998847198,22,10
CONV,2018-11-22 00:00:00,0.821202978267979,23,10
CONV,2018-11-22 00:00:00,0.82600840261997,24,10
CONV,2018-11-22 00:00:00,0.830651951033659,25,10
CONV,2018-11-22 00:00:00,0.835120745508867,26,10
CONV,2018-11-22 00:00:00,0.839458996002093,27,10
CONV,2018-11-22 00:00:00,0.843725326938183,28,10
CONV,2018-11-22 00:00:00,0.847945538465195,29,10
CONV,2018-11-22 00:00:00,0.852081906709985,30,10
CONV,2018-11-22 00:00:00,0.856132006030884,31,10
CONV,2018-11-22 00:00:00,0.860092698617482,32,10
CONV,2018-11-22 00:00:00,0.863934378933097,33,10
CONV,2018-11-22 00:00:00,0.867592340866906,34,10
CONV,2018-11-22 00:00:00,0.871043217982446,35,10
CONV,2018-11-22 00:00:00,0.874319697628113,36,10
CONV,2018-11-22 00:00:00,0.877439867001361,37,10
CONV,2018-11-22 00:00:00,0.880402722179239,38,10
CONV,2018-11-22 00:00:00,0.883187959570348,39,10
CONV,2018-11-22 00:00:00,0.885856332788124,40,10
CONV,2018-11-22 00:00:00,0.888443937269883,41,10
CONV,2018-11-22 00:00:00,0.890944276389902,42,10
CONV,2018-11-22 00:00:00,0.893358503421521,43,10
CONV,2018-11-22 00:00:00,0.895679584405671,44,10
CONV,2018-11-22 00:00:00,0.897913821024039,45,10
CONV,2018-11-22 00:00:00,0.900080095889884,46,10
CONV,2018-11-22 00:00:00,0.902199048845823,47,10
CONV,2018-11-22 00:00:00,0.904246918101578,48,10
CONV,2018-11-22 00:00:00,0.90625435007226,49,10
