exp,init_date,date,fss,w,q
E4,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.717522603824775,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.94478699812599,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.00894706085930364,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.454518357590109,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.603843552013312,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.968688537198721,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.547492947941955,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.589724194909579,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.967700681869078,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.0281326833183555,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.429940260235121,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.670668545387597,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.942266455434464,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.016305641963783,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.180017135113621,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.576180415563036,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.78278264216733,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.034499286354433,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.0816092025813774,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.604508945117095,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.85501899407833,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.140890438863643,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.211374556818195,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.775933261960989,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.956840662528163,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.0875357308981817,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.152232594387654,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.639923550195066,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.872333594487027,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.246181107744296,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.499351528825969,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.60524827346966,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.882780070919468,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.159398820261986,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.834221443046719,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.603654691255531,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.944148540305007,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.128406877439026,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.942189049381239,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.573794657379951,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.967705924584465,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.118762666078991,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.957603912808293,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.594704066751805,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.972038535451743,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.323478246311241,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.982379997280156,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.71225418769025,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.953201635034457,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.00894706085930364,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.454518357590109,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.587218698715022,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.937257642480716,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.00783022428223668,4,25
