exp,init_date,date,fss,w,q
E4,2018-11-22T00:00:00Z,2018-11-22T01:00:00Z,0.722095502571196,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T01:00:00Z,0.869589865122822,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T01:00:00Z,,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T01:00:00Z,,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T02:00:00Z,0.688864658725571,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T02:00:00Z,0.880418254922037,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T02:00:00Z,0.820552147239264,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T02:00:00Z,0.586953342109112,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.597147890042178,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.919558281694153,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.462103969609493,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T04:00:00Z,0.533918922015303,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T04:00:00Z,0.903325171226987,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T04:00:00Z,0,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T04:00:00Z,0.454232903702745,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T05:00:00Z,0.470469309035917,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T05:00:00Z,0.898652936216848,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T05:00:00Z,0,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T05:00:00Z,0.775607749632534,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.41577158042392,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.898918374794726,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.308765784358458,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T07:00:00Z,0.419776180441719,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T07:00:00Z,0.90602147790676,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T07:00:00Z,0,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T07:00:00Z,0.467356534657095,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T08:00:00Z,0.351207654086203,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T08:00:00Z,0.904240624790169,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T08:00:00Z,0.0109128518403958,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T08:00:00Z,0.586001009877144,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.389126979315527,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.879308786336284,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.126493920650044,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.302122219563766,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T10:00:00Z,0.463246727402126,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T10:00:00Z,0.892487456791415,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T10:00:00Z,0.0483213743256691,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T10:00:00Z,0.20879729973932,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T11:00:00Z,0.473404834248664,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T11:00:00Z,0.865680234999796,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T11:00:00Z,0.00705524581855066,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T11:00:00Z,0.0976418221194081,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.446840657774295,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.768083394964994,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.0185093890249359,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T13:00:00Z,0.340647244939189,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T13:00:00Z,0.651271311925094,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T13:00:00Z,0,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T13:00:00Z,0.0194141916765488,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T14:00:00Z,0.340271834272837,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T14:00:00Z,0.656975532847146,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T14:00:00Z,0,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T14:00:00Z,0.00387586063146017,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.403195612204353,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.642734715598289,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.0515627698152304,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.0742228831225625,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T16:00:00Z,0.395213794288831,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T16:00:00Z,0.665065580984002,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T16:00:00Z,0,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T16:00:00Z,0,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T17:00:00Z,0.466165528756199,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T17:00:00Z,0.746596587051426,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T17:00:00Z,0,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T17:00:00Z,0,40,25
