var,type,nivel.error,date,mean.y,sd.y
t,131,900,2018-11-20T18:00:00Z,-0.41743507951745,0.618010852063751
t,131,850,2018-11-20T18:00:00Z,-0.000760399541514605,0.673161829047513
t,131,800,2018-11-20T18:00:00Z,0.177520877602131,0.48901149735779
t,131,750,2018-11-20T18:00:00Z,0.674597379124088,0.872426007432281
t,131,700,2018-11-20T18:00:00Z,0.592689816545617,0.680535679985664
t,131,400,2018-11-20T18:00:00Z,0.175296990236704,0
t,131,250,2018-11-20T18:00:00Z,-0.720403123866757,0.845885672815751
t,131,350,2018-11-20T18:00:00Z,0.050933351227669,0.133742527662241
t,131,200,2018-11-20T18:00:00Z,-0.519131540349015,0.623610556832412
t,131,300,2018-11-20T18:00:00Z,-0.671862427498761,1.04398275501852
t,131,550,2018-11-20T18:00:00Z,0.00114010220670372,0.912745336736236
t,131,1000,2018-11-20T18:00:00Z,-0.571550748979834,0.666422794364373
t,131,950,2018-11-20T18:00:00Z,-0.873046925436635,0.487728179683927
t,131,600,2018-11-20T18:00:00Z,-0.820592374162306,0.788260736049595
u,231,900,2018-11-20T18:00:00Z,0.800219003005623,0.413903814623018
u,231,850,2018-11-20T18:00:00Z,0.851454500304946,0.76347056326185
u,231,800,2018-11-20T18:00:00Z,0.672937081870067,0.580853513101241
u,231,750,2018-11-20T18:00:00Z,0.906275783878148,1.02472538785752
u,231,700,2018-11-20T18:00:00Z,-0.0630987753964353,1.08962750147173
u,231,400,2018-11-20T18:00:00Z,-0.638694786050588,0.11626284925845
u,231,250,2018-11-20T18:00:00Z,-0.355323416017905,0.991577821767341
u,231,350,2018-11-20T18:00:00Z,0.396156034517025,0.325419048604567
u,231,200,2018-11-20T18:00:00Z,0.377313302831865,0.689019206547181
u,231,300,2018-11-20T18:00:00Z,0.461086990573271,0.717175761413279
u,231,550,2018-11-20T18:00:00Z,0.157267675182111,0.273867050169799
u,231,1000,2018-11-20T18:00:00Z,-0.101455247310078,0.587066330146959
u,231,950,2018-11-20T18:00:00Z,0.304952472682572,0.735513770252479
u,231,600,2018-11-20T18:00:00Z,0.584917061031591,0.630073027965897
v,231,900,2018-11-20T18:00:00Z,0.398096388567574,0.77914885658872
v,231,850,2018-11-20T18:00:00Z,-0.366441365519135,1.15319412658443
v,231,800,2018-11-20T18:00:00Z,-0.579888876865906,0.477727674244792
v,231,750,2018-11-20T18:00:00Z,-0.639676622586497,0.803409018246554
v,231,700,2018-11-20T18:00:00Z,-0.250707576437244,0.871363902861749
v,231,400,2018-11-20T18:00:00Z,0.917032902504358,0.776800447470904
v,231,250,2018-11-20T18:00:00Z,0.779805276475377,0.852188737254547
v,231,350,2018-11-20T18:00:00Z,0.622879534262338,0.236022675002847
v,231,200,2018-11-20T18:00:00Z,-0.0965981469790625,0.501988655301674
v,231,300,2018-11-20T18:00:00Z,0.577495858915942,0.486720284344426
v,231,550,2018-11-20T18:00:00Z,0.758097057513451,0.473677596555162
v,231,1000,2018-11-20T18:00:00Z,0.376269240757126,0.549090486436945
v,231,950,2018-11-20T18:00:00Z,0.532549726915065,0.457116612607886
v,231,600,2018-11-20T18:00:00Z,-0.322146476153643,0.406369101207246
t,131,550,2018-11-20T19:00:00Z,-0.226410430562692,0.573962679794436
t,131,650,2018-11-20T19:00:00Z,0.196867353241129,0.817319329309011
t,131,600,2018-11-20T19:00:00Z,-0.112991533776729,0.528020657701796
t,131,800,2018-11-20T19:00:00Z,0.847473902032334,0.929634253228526
t,131,750,2018-11-20T19:00:00Z,-0.556027479723751,1.42294717675569
t,131,850,2018-11-20T19:00:00Z,0.39656272873252,0.838495050798413
t,131,900,2018-11-20T19:00:00Z,0.773145971209738,0.981352420586199
t,131,300,2018-11-20T19:00:00Z,-0.154847363024794,0.691271874781074
t,131,350,2018-11-20T19:00:00Z,-0.124086821287045,0.797597197181052
t,131,950,2018-11-20T19:00:00Z,-0.360203178403966,1.25210816631903
t,131,1000,2018-11-20T19:00:00Z,0.493173057934968,0.858508727966235
t,131,400,2018-11-20T19:00:00Z,-0.301733804910749,1.4269624494384
t,131,450,2018-11-20T19:00:00Z,-0.545511998121393,0.636457339883588
t,131,500,2018-11-20T19:00:00Z,-0.695926465989052,0.639171584128952
t,131,700,2018-11-20T19:00:00Z,-0.0682698954105257,0.998938190994534
t,131,250,2018-11-20T19:00:00Z,-0.647833350176287,0.670765102282887
u,231,550,2018-11-20T19:00:00Z,0.502985530871265,0.528446207530315
u,231,650,2018-11-20T19:00:00Z,-0.0333963967647558,0.603184951476625
u,231,600,2018-11-20T19:00:00Z,0.954418779808232,0.378771688373469
u,231,800,2018-11-20T19:00:00Z,0.301335467776429,0.911281104965011
u,231,750,2018-11-20T19:00:00Z,-0.339973583288088,0.674651927128839
u,231,850,2018-11-20T19:00:00Z,0.724609831776689,0.963598008212665
u,231,900,2018-11-20T19:00:00Z,-0.0596208727824287,0.798334823077827
u,231,300,2018-11-20T19:00:00Z,0.203471830155926,0.520691743123194
u,231,350,2018-11-20T19:00:00Z,-0.165360915813216,0.596701039860123
u,231,950,2018-11-20T19:00:00Z,-0.0791833903078701,1.0970325334037
u,231,1000,2018-11-20T19:00:00Z,-0.573861171989299,0.649450064281096
u,231,400,2018-11-20T19:00:00Z,-0.135639191573691,0.781388878584495
u,231,450,2018-11-20T19:00:00Z,0.551448425043269,0.500038825570829
