var,type,lat.box,lon.box,mean.y,sd.y
t,187,-40.75,287.75,1.1030887054772,1.10617054042664
t,181,-40.75,287.75,1.94726395584705,2.10181555061199
t,187,-35.75,287.75,1.68622671954927,1.18802012869222
t,181,-35.75,287.75,2.05041583912488,1.2871885772137
t,187,-38.25,287.75,1.38618948989035,0.948015975524882
t,181,-33.25,287.75,1.26881805376279,0.998457687382624
t,187,-33.25,287.75,-0.267396242206132,1.37205340714522
t,187,-30.75,287.75,-0.633034014164977,0.714322834731617
t,181,-30.75,287.75,-0.676786160177185,0.579909922246213
t,187,-28.25,290.25,2.01657641501053,0.597505013187164
t,181,-23.25,290.25,1.33938450411892,1.91104894221787
t,187,-23.25,290.25,1.17505406651902,1.88926409963033
t,131,-40.75,287.75,-0.429789670124493,1.2200289959269
t,131,-40.75,290.25,-0.037454122508787,0.77838856067953
t,181,-40.75,290.25,0.569695724487628,1.92759182954737
t,181,-38.25,292.75,-0.478582588098751,1.77296219283733
t,181,-38.25,290.25,0.868805833344326,1.55973470347113
t,181,-35.75,290.25,0.00378421898762382,2.1833153607917
t,181,-35.75,292.75,0.112050492001855,4.86062733067793
t,187,-35.75,292.75,-0.8293001648046,2.14900889065716
t,187,-33.25,290.25,-0.667508868950613,2.63249500955366
t,181,-33.25,290.25,1.25058817621745,2.64103590369942
t,181,-33.25,292.75,0.0922444977812244,1.51816730770019
t,187,-33.25,292.75,-0.141236191681417,1.72051152334877
t,181,-30.75,292.75,0.0376817294666461,1.52129555317417
t,181,-30.75,290.25,4.3664384817933,4.26437278278448
t,181,-20.75,290.25,2.75513543098547,1.61253174259739
t,187,-20.75,290.25,2.9374908890569,1.55939916937863
t,131,-40.75,292.75,-0.219275498891401,0.995980655248622
t,181,-40.75,295.25,0.682407253222132,1.02711366308204
t,131,-38.25,292.75,-0.121384076109109,0.968505704048947
t,131,-38.25,295.25,-0.382887205664348,1.2901178987144
t,187,-38.25,292.75,-0.126453593571806,1.98707922129449
t,181,-35.75,295.25,-0.956133631294595,1.4125240337479
t,181,-33.25,295.25,-0.402922574978694,1.55627662657211
t,187,-33.25,295.25,-0.127854141318128,1.59204162813751
t,187,-35.75,295.25,-0.744693619019252,1.44031563162231
t,181,-30.75,295.25,0.30425068921297,1.23413452610172
t,187,-30.75,295.25,0.110687867512177,1.69546973083857
t,187,-30.75,292.75,0.530826942814348,1.91803851138895
t,181,-28.25,292.75,0.711150213681061,1.48054037574943
t,181,-25.75,295.25,0.253839131850167,1.54231676525412
t,181,-28.25,295.25,0.167661271412881,1.12129876409783
t,187,-28.25,295.25,0.28598268145376,1.47908698928538
t,187,-28.25,292.75,0.632568816859675,2.25705490170144
t,187,-25.75,295.25,0.300975237111495,1.0522943673136
t,187,-25.75,292.75,0.937183287276898,2.6312349835278
t,181,-23.25,295.25,0.174553567723504,1.03349893041678
t,187,-23.25,295.25,1.16467944309541,2.41578963473295
t,187,-20.75,295.25,0.969082892062789,1.19178190133214
t,181,-20.75,295.25,1.18521905762717,3.57979385670164
t,181,-40.75,297.75,-0.135824047281081,1.18820127985635
t,187,-40.75,297.75,-0.447590549797729,2.14013572906199
t,181,-38.25,297.75,-0.626265619572443,1.24618576863447
t,187,-38.25,297.75,-0.998374549536165,1.52740919696734
t,187,-38.25,295.25,-0.725360952036159,2.23825200368679
t,181,-38.25,295.25,-0.615072516510123,1.81647618900193
t,181,-35.75,297.75,-0.568196328605714,1.45659541852327
t,181,-33.25,297.75,-0.211830913336877,1.27417530606752
t,187,-33.25,297.75,-0.358885059870787,1.39222070822163
t,187,-35.75,297.75,-0.581644243421468,1.42382652528513
t,187,-30.75,297.75,-0.140166735833271,1.61985904524931
t,181,-30.75,297.75,0.372850882104188,1.40992508302024
t,181,-28.25,297.75,-0.0597965520779387,1.23271952697631
t,187,-28.25,297.75,-0.00290154522838763,1.15183140121032
t,187,-25.75,297.75,0.0756787729874966,1.02624697696413
t,181,-25.75,297.75,0.41783873259487,1.15586883425109
t,187,-20.75,297.75,0.786147142910452,0.902275164605002
t,181,-20.75,297.75,-0.0255765604496783,0.805664176728728
t,131,-38.25,297.75,-0.875769839776148,1.8002602888409
t,181,-38.25,300.25,-0.178221719363098,1.2779708640868
t,187,-38.25,300.25,-0.011785410634981,1.13056955144265
t,131,-35.75,300.25,-0.472618198503153,1.1259542400403
t,131,-38.25,300.25,-1.42616615423203,1.416849744735
t,181,-35.75,300.25,0.187632792616202,1.6892113613086
t,187,-35.75,300.25,0.108004777229027,1.20506435138533
t,131,-33.25,300.25,-0.530628397154049,1.11968240763721
t,187,-33.25,300.25,-0.26558287081717,1.33176392047343
t,181,-33.25,300.25,-0.132460450379152,1.24375697681267
t,131,-33.25,297.75,-0.788597053069687,1.271240512922
t,131,-30.75,297.75,-1.38835790806788,1.65483853684661
t,181,-30.75,300.25,0.00203236544986807,1.19293802356672
t,187,-30.75,300.25,-0.216100372229139,1.25328686375907
t,181,-28.25,300.25,0.209446722761259,1.5050519921313
t,187,-28.25,300.25,-0.0805837339881448,0.993404943632958
t,181,-25.75,300.25,-0.126492100108103,1.05455513113374
t,187,-25.75,300.25,-0.340195176592418,1.00460543347705
t,181,-23.25,300.25,0.0301805467261806,0.896284611584077
t,181,-38.25,302.75,-0.182457888869907,1.62492588191808
t,187,-38.25,302.75,0.0674015007455807,1.24226563774282
t,181,-35.75,302.75,0.2138476482241,1.22870212930689
t,187,-35.75,302.75,0.393557545193417,1.00310363819677
t,131,-35.75,302.75,-0.296151643563565,1.0841075661695
t,187,-33.25,302.75,0.195133753739724,0.928679026183674
t,181,-33.25,302.75,0.279963345030008,0.867762028468745
t,131,-30.75,302.75,-1.22226958685357,1.50094314756343
t,131,-33.25,302.75,-0.438726687568119,1.19482847704605
t,181,-30.75,302.75,0.0378974213426535,1.09319422194631
t,187,-30.75,302.75,0.215009296570648,1.00208850311838
t,131,-28.25,302.75,-0.735982037240242,1.89366930158178
t,187,-28.25,302.75,0.0807411535753145,1.011011284065
t,181,-28.25,302.75,0.106747074344955,0.875273277007692
t,181,-25.75,302.75,0.0147763269127749,0.870961585694528
t,187,-25.75,302.75,1.38382639254305,0.766459891632608
t,181,-23.25,302.75,0.183937708077692,0.908137332101583
t,181,-35.75,305.25,0.747797428609959,1.00760127074888
t,181,-33.25,307.75,-0.211640327752581,0.979967150289506
t,187,-35.75,305.25,0.640490106771979,0.966144323558756
t,181,-33.25,305.25,0.252280361156993,0.737808454842708
t,181,-30.75,305.25,0.244239004502239,0.80224979705979
t,187,-30.75,305.25,1.41895729858341,1.05629778315352
t,181,-30.75,307.75,-0.299053713826772,0.871285195338596
t,181,-28.25,305.25,0.0953905782296525,0.781749054028221
t,131,-28.25,305.25,-0.389059093412675,1.39382319123536
t,131,-25.75,305.25,-0.488537002923378,1.08220514373011
t,187,-28.25,305.25,-0.0409220796582531,1.22950025111375
t,181,-25.75,305.25,-0.313693974993086,0.861724807237146
t,187,-25.75,305.25,0.0862807249737324,1.16214042482328
t,181,-23.25,305.25,-0.121189786699656,0.746893416266939
t,187,-23.25,305.25,0.694241702121142,0.807117727443317
t,181,-20.75,305.25,0.228238716030498,0.976360910609164
t,187,-20.75,305.25,0.87750021155636,0.90380391955993
t,181,-20.75,302.75,0.43433870284638,0.793116631988166
u,287,-40.75,287.75,-0.566994234849556,1.22834404366169
u,281,-40.75,287.75,-1.71454227499202,1.55100807241659
u,287,-35.75,287.75,-0.486076948435912,0.942992182833128
u,281,-35.75,287.75,-0.49042535481031,0.944273490306585
u,287,-38.25,287.75,-0.530136034928005,1.21569669979488
u,281,-33.25,287.75,-0.397819909976861,0.957749812759439
u,287,-33.25,287.75,-0.561331320697803,0.755694295066397
u,287,-30.75,287.75,-0.214376123696363,0.883979571804976
u,281,-30.75,287.75,-0.0486077438451938,0.923428949526635
u,287,-28.25,290.25,-0.251651730173659,0.835718713351727
u,281,-23.25,290.25,-0.620514886013157,1.15539358000886
u,287,-23.25,290.25,-0.625791616245887,1.14772941018577
u,231,-40.75,287.75,-0.263528691721486,1.28308555325895
u,231,-40.75,290.25,0.170095262018963,1.12658308731436
u,281,-40.75,290.25,-1.14499503612458,1.34085403665421
u,281,-38.25,292.75,-1.14099002493383,1.15797763919987
u,281,-38.25,290.25,-0.796477247947511,1.10767852875659
u,281,-35.75,290.25,0.126067994628241,0.89689750552031
u,281,-35.75,292.75,0.165069166495721,0.74827422714399
u,287,-33.25,290.25,-0.112024333870273,0.866686298467627
u,281,-33.25,290.25,-0.0150429870188265,0.711688713782461
u,281,-33.25,292.75,-0.209561710292464,1.0355758979441
u,287,-33.25,292.75,0.215611204998144,0.907420688535337
u,281,-30.75,292.75,-0.04398450533008,0.639409691454292
u,281,-30.75,290.25,-0.42047336368424,0.573109702961227
u,281,-20.75,290.25,-0.0662172531289493,0.834538461110212
u,287,-20.75,290.25,-0.203272597306707,0.866658707919707
u,231,-40.75,292.75,1.1493751165931,1.24360417030786
u,281,-40.75,295.25,0.350198721119106,1.03860864795197
u,231,-38.25,292.75,0.44690602444881,1.20376036399785
u,231,-38.25,295.25,0.903768666489651,1.47524474168936
u,287,-38.25,292.75,-1.05927242626747,0.996077799466527
u,287,-35.75,292.75,0.345731100162518,0.953812258877061
u,281,-35.75,295.25,0.0298869953005748,0.822473046531499
u,281,-33.25,295.25,0.24322978698672,0.800266471165107
u,287,-33.25,295.25,0.259300759860411,0.817901938104433
u,281,-30.75,295.25,0.308327094023668,0.831418602417223
u,287,-30.75,295.25,0.336992401821873,0.775264285787521
u,281,-28.25,292.75,0.502646525937613,0.605598764726164
u,281,-25.75,295.25,0.22575983061847,0.606343812398781
u,281,-28.25,295.25,0.0816199819642101,0.594911641292225
